Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
251000,2.0356696,21.23076923076923,-2.3860252,-3.448762495815754,-3.448762495815754,1.0
252000,2.050564,21.285714285714285,-2.5799048,-4.048705920577049,-4.048705920577049,1.0
253000,2.0417643,43.43181818181818,-2.4413948,-1.095283359627832,-1.095283359627832,1.0
254000,2.0510085,22.608695652173914,-2.6062224,-3.7899638777193814,-3.7899638777193814,1.0
255000,2.050358,24.05,-2.4298675,-4.074179914593697,-4.074179914593697,1.0
256000,2.04112,20.416666666666668,-2.7045531,-4.30667544470893,-4.30667544470893,1.0
257000,2.0408783,24.37837837837838,-2.5411909,-3.879930629962828,-3.879930629962828,1.0
258000,2.0388112,19.346938775510203,-2.5574539,-3.896347617616459,-3.896347617616459,1.0
259000,2.0465348,21.476190476190474,-2.5672076,-3.685101443529129,-3.685101443529129,1.0
260000,2.0411887,22.931818181818183,-2.515899,-3.8393604543473985,-3.8393604543473985,1.0
261000,2.0546813,18.772727272727273,-2.5795012,-3.8395256757736207,-3.8395256757736207,1.0
262000,2.042641,27.35,-2.51529,-3.4320286184549333,-3.4320286184549333,1.0
263000,2.04668,18.23913043478261,-2.8197918,-4.099084012051846,-4.099084012051846,1.0
264000,2.0429096,24.295454545454547,-2.5486133,-3.6174095485891615,-3.6174095485891615,1.0
265000,2.0487428,19.644444444444446,-2.629667,-4.031987322413403,-4.031987322413403,1.0
266000,2.0328622,23.204545454545453,-2.5485196,-4.165122985839844,-4.165122985839844,1.0
267000,2.0256388,20.285714285714285,-2.6510122,-4.139896568797884,-4.139896568797884,1.0
268000,2.0305457,24.4390243902439,-2.3175185,-3.047306084051365,-3.047306084051365,1.0
269000,2.0345263,23.829268292682926,-2.3421574,-3.778030550479889,-3.778030550479889,1.0
270000,2.0358133,19.875,-2.6757026,-3.807250511889555,-3.807250511889555,1.0
271000,2.026735,23.15909090909091,-2.4409242,-3.610525316970293,-3.610525316970293,1.0
272000,2.0235882,18.125,-2.7512867,-3.786815251622881,-3.786815251622881,1.0
273000,2.0245535,21.307692307692307,-2.5215898,-3.7502376558829327,-3.7502376558829327,1.0
274000,2.0253115,20.95,-2.5265415,-4.0202418972806235,-4.0202418972806235,1.0
275000,2.0208292,23.2,-2.6583364,-4.023776913798133,-4.023776913798133,1.0
276000,2.0247254,21.833333333333332,-2.4831867,-3.7779558845188306,-3.7779558845188306,1.0
277000,2.0306325,21.58139534883721,-2.5807993,-3.8108747864878456,-3.8108747864878456,1.0
278000,2.0397847,21.11904761904762,-2.4685657,-3.7257572469257174,-3.7257572469257174,1.0
279000,2.0573294,20.5,-2.5319529,-4.16027379989624,-4.16027379989624,1.0
280000,2.0461738,23.78048780487805,-2.3368094,-3.548662239596957,-3.548662239596957,1.0
281000,2.0390625,20.73913043478261,-2.4374433,-3.674113242463632,-3.674113242463632,1.0
282000,2.0616708,20.82608695652174,-2.4818351,-3.8814961910247803,-3.8814961910247803,1.0
283000,2.0472493,21.21951219512195,-2.494138,-3.7621748087018037,-3.7621748087018037,1.0
284000,2.0509832,23.65909090909091,-2.3364835,-3.771581075408242,-3.771581075408242,1.0
285000,2.0549452,19.137254901960784,-2.3916435,-3.4923896375967534,-3.4923896375967534,1.0
286000,2.0594082,20.391304347826086,-2.467644,-3.8873169687779052,-3.8873169687779052,1.0
287000,2.0637956,21.878048780487806,-2.4999576,-3.8293770958737627,-3.8293770958737627,1.0
288000,2.0550623,21.434782608695652,-2.5985477,-4.123725935499719,-4.123725935499719,1.0
289000,2.0419936,22.67391304347826,-2.6184456,-4.114429235458374,-4.114429235458374,1.0
290000,2.0416076,19.523809523809526,-2.6452422,-4.06911330487993,-4.06911330487993,1.0
291000,2.0508378,21.318181818181817,-2.4539747,-3.3834752156620933,-3.3834752156620933,1.0
292000,2.0470533,19.6875,-2.6517704,-4.068571494550121,-4.068571494550121,1.0
293000,2.048122,21.642857142857142,-2.6702304,-4.1166666348775225,-4.1166666348775225,1.0
294000,2.0420706,23.236842105263158,-2.336729,-3.658111208363583,-3.658111208363583,1.0
